Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Flow Packets/s,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Init Win Bytes Fwd,Label
57665,8001,6,65938757,5,0.15,7326528.56,63800000.00,2,2116246.00,529061.50,726502.00,2.00,168,168,0.08,65535,adware
38035,8001,6,65953063,5,0.15,7328118.11,63800000.00,2,2136869.00,534217.25,721875.00,2.00,168,168,0.08,65535,adware
55166,8001,6,60063007,6,0.17,6673667.44,57900000.00,3,60100000.00,12000000.00,57900000.00,3.00,200,136,0.10,65535,adware
38035,8001,6,53901637,2,0.04,53900000.00,53900000.00,53900000,53900000.00,53900000.00,53900000.00,53900000.00,64,0,0.04,1386,adware
57665,8001,6,113902273,2,0.02,114000000.00,114000000.00,114000000,114000000.00,114000000.00,114000000.00,114000000.00,64,0,0.02,1386,adware
56906,8001,6,1911121,2,1.05,1911121.00,1911121.00,1911121,1911121.00,1911121.00,1911121.00,1911121.00,64,0,1.05,1386,adware
46313,8001,6,1973001,2,1.01,1973001.00,1973001.00,1973001,1973001.00,1973001.00,1973001.00,1973001.00,64,0,1.01,1386,adware
50853,8001,6,2159627,2,0.93,2159627.00,2159627.00,2159627,2159627.00,2159627.00,2159627.00,2159627.00,64,0,0.93,1386,adware
47901,8001,6,2153502,2,0.93,2153502.00,2153502.00,2153502,2153502.00,2153502.00,2153502.00,2153502.00,64,0,0.93,1386,adware
41409,8001,6,2179495,2,0.92,2179495.00,2179495.00,2179495,2179495.00,2179495.00,2179495.00,2179495.00,64,0,0.92,1386,adware
43826,8001,6,2177629,2,0.92,2177629.00,2177629.00,2177629,2177629.00,2177629.00,2177629.00,2177629.00,64,0,0.92,1386,adware
36845,8001,6,2177627,2,0.92,2177627.00,2177627.00,2177627,2177627.00,2177627.00,2177627.00,2177627.00,64,0,0.92,1386,adware
60978,8001,6,2198625,2,0.91,2198625.00,2198625.00,2198625,2198625.00,2198625.00,2198625.00,2198625.00,64,0,0.91,1386,adware
36310,8001,6,2238739,2,0.89,2238739.00,2238739.00,2238739,2238739.00,2238739.00,2238739.00,2238739.00,64,0,0.89,1386,adware
38646,8001,6,2334371,2,0.86,2334371.00,2334371.00,2334371,2334371.00,2334371.00,2334371.00,2334371.00,64,0,0.86,1386,adware
41216,8001,6,2899751,2,0.69,2899751.00,2899751.00,2899751,2899751.00,2899751.00,2899751.00,2899751.00,64,0,0.69,1386,adware
33573,8001,6,2917000,2,0.69,2917000.00,2917000.00,2917000,2917000.00,2917000.00,2917000.00,2917000.00,64,0,0.69,1386,adware
38456,8001,6,2915253,2,0.69,2915253.00,2915253.00,2915253,2915253.00,2915253.00,2915253.00,2915253.00,64,0,0.69,1386,adware
59490,8001,6,2928752,2,0.68,2928752.00,2928752.00,2928752,2928752.00,2928752.00,2928752.00,2928752.00,64,0,0.68,1386,adware
55131,8001,6,2947622,2,0.68,2947622.00,2947622.00,2947622,2947622.00,2947622.00,2947622.00,2947622.00,64,0,0.68,1386,adware
55899,8001,6,2956125,2,0.68,2956125.00,2956125.00,2956125,2956125.00,2956125.00,2956125.00,2956125.00,64,0,0.68,1386,adware
57665,8001,6,4095750,2,0.49,4095750.00,4095750.00,4095750,4095750.00,4095750.00,4095750.00,4095750.00,64,0,0.49,1386,adware
38035,8001,6,4275629,2,0.47,4275629.00,4275629.00,4275629,4275629.00,4275629.00,4275629.00,4275629.00,64,0,0.47,1386,adware
56906,8001,6,7610753,2,0.26,7610753.00,7610753.00,7610753,7610753.00,7610753.00,7610753.00,7610753.00,64,0,0.26,1386,adware
46313,8001,6,7936873,2,0.25,7936873.00,7936873.00,7936873,7936873.00,7936873.00,7936873.00,7936873.00,64,0,0.25,1386,adware
50853,8001,6,8660253,2,0.23,8660253.00,8660253.00,8660253,8660253.00,8660253.00,8660253.00,8660253.00,64,0,0.23,1386,adware
47901,8001,6,8656005,2,0.23,8656005.00,8656005.00,8656005,8656005.00,8656005.00,8656005.00,8656005.00,64,0,0.23,1386,adware
41409,8001,6,8754502,2,0.23,8754502.00,8754502.00,8754502,8754502.00,8754502.00,8754502.00,8754502.00,64,0,0.23,1386,adware
43826,8001,6,8754502,2,0.23,8754502.00,8754502.00,8754502,8754502.00,8754502.00,8754502.00,8754502.00,64,0,0.23,1386,adware
36845,8001,6,8754502,2,0.23,8754502.00,8754502.00,8754502,8754502.00,8754502.00,8754502.00,8754502.00,64,0,0.23,1386,adware
60978,8001,6,8869378,2,0.23,8869378.00,8869378.00,8869378,8869378.00,8869378.00,8869378.00,8869378.00,64,0,0.23,1386,adware
